,Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values,model_response
62,Literary,1,19,3,The stars are beads strung on one string.,The stars are connected.,The stars are circles.,The stars are in the sky.,The stars are disconnected.,5.47,4.57,3.1,3.47,4.33,4.33,3.93,3.87,2.23,1.5,,1,"""The stars are beads strung on one string.""

a) The stars are circles.
b) The stars are in the sky.
c) The stars are connected.
d) The stars are disconnected.
",[3 2 4 1],"

c) The stars are connected."
63,Nonliterary,1,248,0,Featherweight boxers are wasps.,Featherweight boxers are agile.,Featherweight boxers are annoying.,Featherweight boxers are the lightest weightclass.,Featherweight boxers are pleasant.,4.31,3.2,2.47,3.37,2.97,3.53,3.59,2.17,2.7,1.48,,1,"""Featherweight boxers are wasps.""

a) Featherweight boxers are the lightest weightclass.
b) Featherweight boxers are agile.
c) Featherweight boxers are annoying.
d) Featherweight boxers are pleasant.
",[2 4 3 1],"

d) Featherweight boxers are pleasant."
64,Nonliterary,1,81,0,An exaggeration is an invitation to falsehood.,An exaggeration is a precursor to a lie.,An exaggeration is worse than a lie.,An exaggeration is not entirely true.,An exaggeration is not a lie.,5.13,5.8,4.1,4.4,3.63,4.23,3.73,3.7,4.72,1.59,,1,"""An exaggeration is an invitation to falsehood.""

a) An exaggeration is a precursor to a lie.
b) An exaggeration is not a lie.
c) An exaggeration is not entirely true.
d) An exaggeration is worse than a lie.
",[4 1 2 3],"

c) An exaggeration is not entirely true."
65,Nonliterary,1,238,0,Newspapers are telescopes of events.,Newspapers enable more people from all over to learn about events.,Newspapers include a lot of information about events.,Newspapers are where the news is reported.,Newspapers prevent people from learning about events.,5.41,5.63,3.83,3.97,3.9,4.37,3.93,3.37,4.33,1.79,,1,"""Newspapers are telescopes of events.""

a) Newspapers enable more people from all over to learn about events.
b) Newspapers are where the news is reported.
c) Newspapers prevent people from learning about events.
d) Newspapers include a lot of information about events.
",[4 2 1 3],"

c) Newspapers include a lot of information about events."
66,Nonliterary,1,15,0,Love is a flower.,Love is beautiful and grows.,Love dies.,Love is an emotion.,Love is ugly.,5.84,5.96,2.92,3.8,4.59,5.0,4.65,5.21,4.33,3.08,,1,"""Love is a flower.""

a) Love is ugly.
b) Love dies.
c) Love is an emotion.
d) Love is beautiful and grows.
",[1 3 2 4],"

c) Love is an emotion."
67,Nonliterary,1,239,0,Purgatory is the lobby of heaven.,na,na,na,na,4.14,4.62,3.17,4.0,4.14,3.5,3.41,2.69,3.07,1.07,Religious,1,"""Purgatory is the lobby of heaven.""

a) na
b) na
c) na
d) na
",[1 4 3 2],"

na"
68,Nonliterary,1,18,0,The queen is a nation's aunt.,The queen helps to lead a nation.,The queen helps to fund a nation.,The queen is a monarch.,The queen is unrelated to a nation.,3.88,4.63,3.12,2.6,2.21,2.93,2.58,2.25,2.85,0.88,,1,"""The queen is a nation's aunt.""

a) The queen is a monarch.
b) The queen is unrelated to a nation.
c) The queen helps to lead a nation.
d) The queen helps to fund a nation.
",[2 1 4 3],"

c) The queen helps to lead a nation."
69,Nonliterary,1,120,0,The creative mind is a kettle on the stove.,The creative mind needs time to warm up.,The creative mind needs tea to function.,The creative mind is a mind that is creating.,The creative mind is ready any time.,4.07,5.33,2.67,3.93,3.57,3.34,3.67,3.14,3.17,1.54,,1,"""The creative mind is a kettle on the stove.""

a) The creative mind needs tea to function.
b) The creative mind is a mind that is creating.
c) The creative mind is ready any time.
d) The creative mind needs time to warm up.
",[3 2 1 4],"

The creative mind needs time to warm up."
70,Nonliterary,1,47,8,A white rabbit's fur in winter is a ready-made suit of long underwear.,A white rabbit's fur in winter is naturally warm and cozy.,A white rabbit's fur in winter is good camoflauge.,A white rabbit's fur in winter is the outermost part of the animal.,A white rabbit's fur in winter is naturally cold and uncomfortable.,5.63,6.07,3.57,3.83,4.73,4.83,5.03,2.97,4.53,1.57,,1,"""A white rabbit's fur in winter is a ready-made suit of long underwear.""

a) A white rabbit's fur in winter is naturally cold and uncomfortable.
b) A white rabbit's fur in winter is good camoflauge.
c) A white rabbit's fur in winter is the outermost part of the animal.
d) A white rabbit's fur in winter is naturally warm and cozy.
",[1 3 2 4],"
c) A white rabbit's fur in winter is the outermost part of the animal."
71,Literary,1,23,8,Clouds are puffballs,Clouds look soft.,Clouds look delicious.,Clouds are a visible mass of condensed water floating in the atmosphere.,Clouds look rough.,6.6,6.67,4.5,4.07,6.37,5.97,6.2,6.1,5.13,1.7,,1,"""Clouds are puffballs""

a) Clouds look delicious.
b) Clouds look soft.
c) Clouds are a visible mass of condensed water floating in the atmosphere.
d) Clouds look rough.
",[3 4 2 1],"

c) Clouds are a visible mass of condensed water floating in the atmosphere."
72,Nonliterary,1,79,19,Power is capitalism's narcotic.,Capitalism can be undermined by power.,Power can be injected.,Power is being able to take control.,Power can resolve problems.,4.9,4.6,3.57,4.67,3.3,3.3,3.4,3.13,3.83,1.55,,1,"""Power is capitalism's narcotic.""

a) Power is being able to take control.
b) Capitalism can be undermined by power.
c) Power can be injected.
d) Power can resolve problems.
",[2 4 3 1],"

d) Power can resolve problems."
73,Literary,1,65,1,Time is a priceless coin.,Time is extremely valuable.,Time is a circle.,Time is continued progress of existence.,Time is worthless.,5.37,5.9,3.83,4.33,4.97,3.8,3.77,5.43,3.4,2.1,,1,"""Time is a priceless coin.""

a) Time is continued progress of existence.
b) Time is extremely valuable.
c) Time is worthless.
d) Time is a circle.
",[2 4 1 3],"

b) Time is extremely valuable."
74,Nonliterary,1,82,0,A sculpture is a landmark of an era.,A sculpture reflects the time and place it was created.,A sculpture is big.,A sculpture is a piece of art.,A sculpture has no connection to the time and place it was created.,5.47,4.97,4.4,3.87,3.57,4.07,3.67,3.5,4.55,1.66,,1,"""A sculpture is a landmark of an era.""

a) A sculpture has no connection to the time and place it was created.
b) A sculpture is big.
c) A sculpture reflects the time and place it was created.
d) A sculpture is a piece of art.
",[1 3 4 2],"

c) A sculpture reflects the time and place it was created."
75,Nonliterary,1,246,0,Migraine headaches are beating drums.,Migraine headaches can be throbbing.,Migraine headaches can make people sensitive to noise.,Migraine headaches can be sudden and painful.,Migraine headaches are comfortable.,6.52,6.43,3.52,4.97,5.55,5.53,5.9,4.69,5.47,1.97,,1,"""Migraine headaches are beating drums.""

a) Migraine headaches can be sudden and painful.
b) Migraine headaches can be throbbing.
c) Migraine headaches are comfortable.
d) Migraine headaches can make people sensitive to noise.
",[2 4 1 3],"

c) Migraine headaches are comfortable."
76,Nonliterary,1,203,0,The army is a plague.,The army is killing people.,The army is making people sick.,The army is a branch of the military.,The army is keeping people alive.,4.37,4.53,3.07,3.8,3.37,4.3,3.87,3.27,3.1,1.9,,1,"""The army is a plague.""

a) The army is keeping people alive.
b) The army is making people sick.
c) The army is a branch of the military.
d) The army is killing people.
",[1 3 2 4],"

The army is killing people."
77,Nonliterary,1,68,0,An old man is a living history book.,An old man has a lot of knowledge about the past.,An old man has knowledge that could be tested in a history class.,An old man is a man who has lived a long time.,An old man has little knowledge of the past.,6.2,6.43,4.03,4.53,4.6,5.17,5.1,4.77,4.72,2.03,,1,"""An old man is a living history book.""

a) An old man is a man who has lived a long time.
b) An old man has a lot of knowledge about the past.
c) An old man has little knowledge of the past.
d) An old man has knowledge that could be tested in a history class.
",[2 4 1 3],"

c) An old man has little knowledge of the past."
78,Nonliterary,1,70,15,Freedom is a breath of fresh air.,Freedom is refreshing.,Freedom is cold.,Freedom is a value.,Freedom is difficult.,5.93,6.13,3.47,4.87,4.77,5.03,4.53,5.47,5.17,2.0,,1,"""Freedom is a breath of fresh air.""

a) Freedom is a value.
b) Freedom is difficult.
c) Freedom is refreshing.
d) Freedom is cold.
",[2 1 4 3],"

d) Freedom is cold."
79,Nonliterary,1,143,0,The past is a bottomless pit.,A person could spend all their time thinking about the past.,A person should spend all of their time thinking about the past.,The past is what has already happened.,The past is always easy to think about and never takes very long.,5.11,5.03,2.7,3.53,4.27,4.27,4.0,4.23,3.17,2.04,,1,"""The past is a bottomless pit.""

a) The past is what has already happened.
b) A person could spend all their time thinking about the past.
c) A person should spend all of their time thinking about the past.
d) The past is always easy to think about and never takes very long.
",[2 4 3 1],"

c) A person should spend all of their time thinking about the past."
80,Nonliterary,1,25,0,Experience is a used car salesman.,Experience can be misleading.,Experience can be helpful.,Experience is observation.,Experience can be hard to find.,5.0,4.88,3.42,3.08,2.66,3.86,3.27,2.76,2.67,1.58,,1,"""Experience is a used car salesman.""

a) Experience is observation.
b) Experience can be hard to find.
c) Experience can be misleading.
d) Experience can be helpful.
",[2 1 4 3],"

d) Experience can be helpful."
81,Literary,1,21,6,A body is a prison for the soul.,A body is confining.,A body is in jail.,A body is the physical structure of a person.,A body can do anything.,6.13,6.03,4.03,4.6,3.9,4.17,4.4,5.67,4.0,1.8,,1,"""A body is a prison for the soul.""

a) A body is in jail.
b) A body is confining.
c) A body can do anything.
d) A body is the physical structure of a person.
",[3 4 1 2],"

a) A body is in jail."
82,Nonliterary,1,159,0,Beware-of-dog signs are scarecrows.,Beware-of-dog signs are intended to keep certain people away.,Beware-of-dog signs are sometimes effective.,Beware-of-dog signs alert people that there is a dog.,Beware-of-dog signs are intended to attract certain people.,5.63,6.13,4.07,3.8,4.8,4.4,5.1,3.43,4.5,1.57,,1,"""Beware-of-dog signs are scarecrows.""

a) Beware-of-dog signs alert people that there is a dog.
b) Beware-of-dog signs are intended to attract certain people.
c) Beware-of-dog signs are sometimes effective.
d) Beware-of-dog signs are intended to keep certain people away.
",[2 1 3 4],"

b) Beware-of-dog signs are intended to attract certain people."
83,Nonliterary,1,64,0,A shadow is a piece of night.,A shadow is dark.,A shadow is mysterious.,A shadow is obstructed light.,A shadow is bright.,5.13,5.67,3.27,4.67,4.27,4.1,4.5,3.13,3.9,1.69,,1,"""A shadow is a piece of night.""

a) A shadow is dark.
b) A shadow is mysterious.
c) A shadow is obstructed light.
d) A shadow is bright.
",[4 3 2 1],"

a) A shadow is dark."
84,Nonliterary,1,196,0,Rain clouds are pregnant ghosts.,Rain clouds are full of water and white or gray.,Rain clouds are full of water and are colorful.,Rain clouds are filled with water.,Rain clouds do not contain any water.,4.03,4.9,2.77,2.77,3.37,3.83,3.73,1.9,3.07,1.17,,1,"""Rain clouds are pregnant ghosts.""

a) Rain clouds are full of water and white or gray.
b) Rain clouds do not contain any water.
c) Rain clouds are full of water and are colorful.
d) Rain clouds are filled with water.
",[4 1 3 2],"

d) Rain clouds are filled with water."
85,Nonliterary,1,94,0,An acrobat is the bird of the bigtop.,An acrobat performs in the air.,An acrobat has feathers.,An acrobat is a performer.,An acrobat performs on the ground.,5.57,5.93,3.2,3.23,4.43,3.53,4.7,3.57,4.07,1.57,,1,"""An acrobat is the bird of the bigtop.""

a) An acrobat performs in the air.
b) An acrobat is a performer.
c) An acrobat has feathers.
d) An acrobat performs on the ground.
",[4 2 3 1],"

b) An acrobat is a performer."
86,Nonliterary,1,155,0,Coal mines are the bowels of the earth.,Coal mines are unpleasant places.,Coal mines are underground.,Coal mines are places where people extract coal from the land.,Coal mines are pleasant places.,5.62,6.0,3.53,3.83,4.87,4.5,4.77,4.0,4.47,1.77,,1,"""Coal mines are the bowels of the earth.""

a) Coal mines are pleasant places.
b) Coal mines are places where people extract coal from the land.
c) Coal mines are underground.
d) Coal mines are unpleasant places.
",[1 2 3 4],"

b) Coal mines are places where people extract coal from the land."
87,Nonliterary,1,244,0,The eager student is a sponge.,The eager student learns quickly.,The eager student has room to grow.,The eager student is excited to learn.,The eager student is patient.,6.03,6.4,3.7,4.83,5.21,4.33,5.34,4.83,5.03,2.07,,1,"""The eager student is a sponge.""

a) The eager student has room to grow.
b) The eager student learns quickly.
c) The eager student is patient.
d) The eager student is excited to learn.
",[3 4 1 2],"

c) The eager student is patient."
88,Nonliterary,1,197,0,Wisdom is a weatherman.,Wisdom is trying over and over again to do something hard.,Wisdom is trying to predict the weather.,Wisdom is acquired over time.,Wisdom is doing nothing.,3.13,3.3,2.43,2.13,1.67,2.83,2.1,1.8,2.03,1.17,,1,"""Wisdom is a weatherman.""

a) Wisdom is doing nothing.
b) Wisdom is trying to predict the weather.
c) Wisdom is trying over and over again to do something hard.
d) Wisdom is acquired over time.
",[1 3 4 2],"

d) Wisdom is acquired over time."
89,Nonliterary,1,108,1,A butterfly is a flower.,A butterfly is beautiful.,A butterfly often appears on the ground.,A butterfly is a flying insect.,A butterfly is ugly.,4.8,5.1,2.33,3.27,4.3,3.9,3.87,3.73,3.13,1.64,,1,"""A butterfly is a flower.""

a) A butterfly often appears on the ground.
b) A butterfly is beautiful.
c) A butterfly is ugly.
d) A butterfly is a flying insect.
",[3 4 1 2],"

c) A butterfly is ugly."
90,Nonliterary,1,102,0,A chicken is a walking egg carton.,A chicken is convenient for producing eggs.,A chicken fits in a box.,A chicken is a bird.,A chicken is inconvenient.,5.7,5.8,3.0,3.7,3.83,3.63,5.17,3.03,3.83,1.79,,1,"""A chicken is a walking egg carton.""

a) A chicken is a bird.
b) A chicken is convenient for producing eggs.
c) A chicken is inconvenient.
d) A chicken fits in a box.
",[2 4 1 3],"

a) A chicken is a bird."
91,Nonliterary,1,178,0,A liar's tongue is a spear of distrust.,Don't trust what a liar says.,Don't do what a liar says.,A liar's tongue is a part of their mouth.,Always trust what a liar says.,5.53,5.87,2.97,5.27,5.1,4.8,4.5,3.43,5.2,2.0,,1,"""A liar's tongue is a spear of distrust.""

a) Don't trust what a liar says.
b) Don't do what a liar says.
c) Always trust what a liar says.
d) A liar's tongue is a part of their mouth.
",[4 3 1 2],"

d) A liar's tongue is a part of their mouth."
92,Nonliterary,1,225,0,The blackmailer is a leech.,The blackmailer preys on people.,The blackmailer drinks blood.,The blackmailer uses information to threaten people.,The blackmailer is a good person.,5.73,6.1,3.4,4.37,4.27,4.67,4.93,4.73,5.1,1.83,,1,"""The blackmailer is a leech.""

a) The blackmailer is a good person.
b) The blackmailer uses information to threaten people.
c) The blackmailer drinks blood.
d) The blackmailer preys on people.
",[1 2 3 4],"

The blackmailer is a good person."
93,Nonliterary,1,166,0,The degree is a doorway.,The degree creates opportunities.,The degree helps people travel.,The degree is recognition.,The degree prevents people from getting new opportunities.,4.57,3.8,2.53,3.6,3.4,3.3,3.37,4.43,3.73,1.5,,1,"""The degree is a doorway.""

a) The degree helps people travel.
b) The degree creates opportunities.
c) The degree prevents people from getting new opportunities.
d) The degree is recognition.
",[3 4 1 2],"

b) The degree creates opportunities."
94,Literary,1,86,0,Nerves after a quarrel are frozen leaves in winter.,Nerves after a quarrel are brittle.,Nerves after a quarrel are scarce.,Nerves are fibres in the body that transmit impulses of sensation.,Nerves after a quarrel are pliable.,5.27,4.73,3.3,5.2,5.2,4.1,5.37,4.8,4.53,1.77,,1,"""Nerves after a quarrel are frozen leaves in winter.""

a) Nerves are fibres in the body that transmit impulses of sensation.
b) Nerves after a quarrel are brittle.
c) Nerves after a quarrel are pliable.
d) Nerves after a quarrel are scarce.
",[2 4 1 3],"

d) Nerves after a quarrel are scarce."
95,Nonliterary,1,126,0,Discipline is fertilizer.,Discipline is helpful.,Discipline is a chemical.,Discipline is having a lot of will-power.,Discipline is hard.,4.0,3.83,2.7,3.47,2.9,3.24,3.37,2.31,2.43,1.54,,1,"""Discipline is fertilizer.""

a) Discipline is a chemical.
b) Discipline is helpful.
c) Discipline is hard.
d) Discipline is having a lot of will-power.
",[3 4 1 2],"

d) Discipline is having a lot of will-power."
96,Nonliterary,1,19,0,A kangaroo is a yo-yo.,A kangaroo is an animal that moves up and down.,A kangaroo is a toy,A kangaroo is a mammal.,A kangaroo is an animal that moves forward and back.,5.08,5.38,2.46,3.32,3.31,2.9,4.31,3.0,3.33,1.38,,1,"""A kangaroo is a yo-yo.""

a) A kangaroo is an animal that moves forward and back.
b) A kangaroo is a toy
c) A kangaroo is an animal that moves up and down.
d) A kangaroo is a mammal.
",[1 3 4 2],"

a) A kangaroo is an animal that moves forward and back."
97,Nonliterary,1,200,0,Sarcastic smiles are acid.,Sarcastic smiles can inflict harm.,Sarcastic smiles can melt plastic.,Sarcastic smiles are not genuine.,Sarcastic smiles can be funny.,5.23,5.67,3.2,4.3,4.43,4.6,4.63,3.93,4.17,2.03,,1,"""Sarcastic smiles are acid.""

a) Sarcastic smiles can melt plastic.
b) Sarcastic smiles can be funny.
c) Sarcastic smiles are not genuine.
d) Sarcastic smiles can inflict harm.
",[3 1 2 4],"

c) Sarcastic smiles are not genuine."
98,Literary,1,85,0,Tranquility is a woodland river winding through hills in solitude.,Tranquility is beautiful.,Tranquility is lonely.,Tranquility is calmness.,Tranquility is hideous.,6.27,6.13,4.03,5.3,5.77,4.53,5.97,5.93,4.93,1.93,,1,"""Tranquility is a woodland river winding through hills in solitude.""

a) Tranquility is calmness.
b) Tranquility is beautiful.
c) Tranquility is lonely.
d) Tranquility is hideous.
",[2 4 3 1],"

d) Tranquility is hideous."
99,Nonliterary,1,150,10,Alcohol is a crutch.,People can become dependent on alcohol.,Drinking provides support.,Alcohol is a drink that can make people feel relaxed.,Drinking is fun but risky.,6.3,6.37,4.4,5.17,4.87,4.9,5.37,6.63,5.2,2.07,,1,"""Alcohol is a crutch.""

a) Alcohol is a drink that can make people feel relaxed.
b) Drinking is fun but risky.
c) People can become dependent on alcohol.
d) Drinking provides support.
",[2 1 4 3],"

b) Drinking is fun but risky."
100,Nonliterary,1,22,16,History is a mirror.,We see ourselves in history.,History is a piece of furniture.,History is what happened in the past.,History is unknowable.,5.8,6.42,3.5,5.4,4.62,4.1,4.96,5.03,4.56,2.15,,1,"""History is a mirror.""

a) History is what happened in the past.
b) History is unknowable.
c) We see ourselves in history.
d) History is a piece of furniture.
",[2 1 4 3],"

d) History is a piece of furniture."
101,Nonliterary,1,90,22,Sleep is an ocean.,Sleep is deep and calm.,Sleep is quiet but heavy.,Sleep is a physiological state.,Sleep is shallow and rough.,3.83,4.27,2.47,2.9,3.4,3.6,2.83,3.43,2.37,1.93,,1,"""Sleep is an ocean.""

a) Sleep is a physiological state.
b) Sleep is shallow and rough.
c) Sleep is quiet but heavy.
d) Sleep is deep and calm.
",[2 1 3 4],"

d) Sleep is deep and calm."
102,Nonliterary,1,51,0,A museum is a history book.,A museum is filled with information.,A museum is boring.,A museum is a building.,A museum is useless.,6.6,6.48,4.63,5.17,5.87,5.73,5.7,5.73,5.47,1.93,,1,"""A museum is a history book.""

a) A museum is a building.
b) A museum is filled with information.
c) A museum is boring.
d) A museum is useless.
",[2 4 3 1],"

a) A museum is a building."
103,Nonliterary,1,106,0,A lawyer is a lighthouse.,A lawyer helps you stay away from danger.,A lawyer lives close to the water.,A lawyer is a professional.,A lawyer causes problems.,3.8,3.9,2.23,3.2,2.43,2.7,2.7,1.97,2.33,1.25,,1,"""A lawyer is a lighthouse.""

a) A lawyer is a professional.
b) A lawyer helps you stay away from danger.
c) A lawyer lives close to the water.
d) A lawyer causes problems.
",[2 4 3 1],"

b) A lawyer helps you stay away from danger."
104,Nonliterary,1,260,0,Respect is a precious gem.,Respect is valuable.,Respect is hard to find.,Respect is a feeling of admiration.,Respect is silly.,6.24,6.2,3.33,4.97,5.21,5.21,5.03,5.0,5.3,1.85,,1,"""Respect is a precious gem.""

a) Respect is valuable.
b) Respect is silly.
c) Respect is hard to find.
d) Respect is a feeling of admiration.
",[4 1 3 2],"

d) Respect is a feeling of admiration."
105,Nonliterary,1,136,0,A judge is a balance.,A judge is even-handed.,A judge is correct.,A judge is a person who makes important decisions.,A judge is flippant.,5.36,5.28,3.63,4.87,5.1,5.43,5.03,3.6,4.8,1.96,,1,"""A judge is a balance.""

a) A judge is correct.
b) A judge is even-handed.
c) A judge is flippant.
d) A judge is a person who makes important decisions.
",[3 4 1 2],"

b) A judge is even-handed."
106,Nonliterary,1,36,0,Beavers are lumberjacks with fur coats.,Beavers cut down trees.,Beavers use tools.,Beavers are mammals.,Beavers never cut down trees.,6.3,6.45,3.53,5.2,5.6,5.07,5.57,4.93,5.27,1.9,,1,"""Beavers are lumberjacks with fur coats.""

a) Beavers are mammals.
b) Beavers use tools.
c) Beavers cut down trees.
d) Beavers never cut down trees.
",[2 3 4 1],"

b) Beavers use tools."
107,Literary,1,12,0,Rain is a collection of sheeny tears.,Rain is shiny and wet and sad.,Rain is shiny and wet and small.,Rain is water that falls from the sky.,Rain is shiny and wet and happy.,5.03,5.87,3.87,4.3,5.03,5.4,5.13,4.83,4.47,1.57,,1,"""Rain is a collection of sheeny tears.""

a) Rain is shiny and wet and happy.
b) Rain is water that falls from the sky.
c) Rain is shiny and wet and sad.
d) Rain is shiny and wet and small.
",[1 2 4 3],"

d) Rain is shiny and wet and small."
108,Nonliterary,1,46,0,Perception is the father of memory.,You only remember what you see.,You only remember what you do.,Perception is part of experience.,You can remember everything.,4.53,4.97,2.93,4.17,2.9,3.93,3.1,3.17,4.47,1.33,,1,"""Perception is the father of memory.""

a) Perception is part of experience.
b) You only remember what you see.
c) You can remember everything.
d) You only remember what you do.
",[2 4 1 3],"
c) You can remember everything."
109,Nonliterary,1,223,0,The pursuit of peace is a tortoise.,Progress has been slow in the pursuit of peace.,Progess has been amphibious in the pursuit of peace.,The pursuit of peace is seeking non-violent resolutions to problems.,Progress has been fast in the pursuit of peace.,4.47,5.43,3.03,4.13,3.93,4.5,4.03,2.63,3.73,1.69,,1,"""The pursuit of peace is a tortoise.""

a) Progress has been slow in the pursuit of peace.
b) Progress has been fast in the pursuit of peace.
c) Progess has been amphibious in the pursuit of peace.
d) The pursuit of peace is seeking non-violent resolutions to problems.
",[4 1 3 2],"

d) The pursuit of peace is seeking non-violent resolutions to problems."
110,Nonliterary,1,73,0,Religion is the lifeblood of society.,Religion is crucial for the health of society.,Religion connects people in society.,Religion is a particular system of faith and worship.,Religion is detrimental to society.,4.9,4.9,3.17,3.83,2.9,3.53,3.33,3.6,3.86,1.83,,1,"""Religion is the lifeblood of society.""

a) Religion is detrimental to society.
b) Religion connects people in society.
c) Religion is crucial for the health of society.
d) Religion is a particular system of faith and worship.
",[1 3 4 2],"

d) Religion is a particular system of faith and worship."
111,Nonliterary,1,174,0,Ritual is the prison of individuality.,Ritual eliminates self-expression.,Ritual is physically confining.,Ritual is a behavior done as religious rite.,Ritual encourages self-expression.,4.77,5.03,3.1,4.0,3.83,3.43,3.6,3.33,4.3,1.48,,1,"""Ritual is the prison of individuality.""

a) Ritual eliminates self-expression.
b) Ritual is a behavior done as religious rite.
c) Ritual encourages self-expression.
d) Ritual is physically confining.
",[4 2 1 3],"

b) Ritual is a behavior done as religious rite."
112,Nonliterary,1,31,2,A dusty and crowded attic is a paradise to child.,A dusty and crowded attic is fun for children.,A dusty and crowded attic has a lot of memories.,A dusty and crowded attic is a room in a house.,A dusty and crowded attic is a scary place,6.0,6.1,4.97,4.8,5.03,4.67,5.63,5.07,4.97,2.03,,1,"""A dusty and crowded attic is a paradise to child.""

a) A dusty and crowded attic is a room in a house.
b) A dusty and crowded attic is fun for children.
c) A dusty and crowded attic is a scary place
d) A dusty and crowded attic has a lot of memories.
",[2 4 1 3],"

a) A dusty and crowded attic is a room in a house."
113,Nonliterary,1,72,0,A dog's stomach is his master's alarm clock.,Dog owners are responsive to their dogs' hunger.,Dogs dislike hunger.,A dog's stomach is an organ.,Dogs don't know when their dogs are hungry.,5.03,5.97,3.07,4.37,3.9,3.17,4.0,3.4,3.55,1.45,,1,"""A dog's stomach is his master's alarm clock.""

a) A dog's stomach is an organ.
b) Dog owners are responsive to their dogs' hunger.
c) Dogs dislike hunger.
d) Dogs don't know when their dogs are hungry.
",[2 4 3 1],"

d) Dogs don't know when their dogs are hungry."
114,Nonliterary,1,186,0,The winner's cup is the athlete's crown.,The winner's cup is a valued prize.,The winner's cup is a hat.,The winner's cup is an award for winning the competition.,The winner's cup is a toy.,5.53,5.9,4.13,4.3,5.37,4.93,4.67,4.07,5.57,1.83,,1,"""The winner's cup is the athlete's crown.""

a) The winner's cup is a toy.
b) The winner's cup is a hat.
c) The winner's cup is a valued prize.
d) The winner's cup is an award for winning the competition.
",[1 3 4 2],"

d) The winner's cup is an award for winning the competition."
115,Literary,1,32,8,Clouds are tossed pillows.,Clouds look scattered around.,Clouds look intricate.,Clouds are a visible mass of condensed water floating in the atmosphere.,Clouds look orderly.,6.37,5.97,3.17,4.73,5.97,5.77,5.77,4.93,4.3,1.93,,1,"""Clouds are tossed pillows.""

a) Clouds are a visible mass of condensed water floating in the atmosphere.
b) Clouds look intricate.
c) Clouds look scattered around.
d) Clouds look orderly.
",[2 3 4 1],"

c) Clouds look scattered around."
116,Nonliterary,1,147,0,Smog is a shroud.,Smog makes it hard to see.,Smog is made of cloth.,Smog is pollution.,Smog makes it easy to see.,4.73,5.23,4.0,4.07,3.97,3.7,4.7,3.93,4.07,1.43,,1,"""Smog is a shroud.""

a) Smog makes it hard to see.
b) Smog is made of cloth.
c) Smog is pollution.
d) Smog makes it easy to see.
",[4 3 2 1],"

d) Smog makes it easy to see."
117,Literary,1,92,3,Stars are dancers.,The way that stars move around is entertaining.,The way that stars move around is fast.,Stars are in the sky.,The way that stars move around is invisible.,5.2,5.3,2.97,3.47,5.53,5.07,4.87,4.8,3.63,2.17,,1,"""Stars are dancers.""

a) The way that stars move around is fast.
b) Stars are in the sky.
c) The way that stars move around is invisible.
d) The way that stars move around is entertaining.
",[3 2 1 4],"

d) The way that stars move around is entertaining."
118,Literary,1,153,7,Snow is a down-pelt for winter.,Snow is soft and heavy.,Snow is often on jackets.,Snow is frozen water that falls from the sky.,Snow is rough.,5.5,5.47,4.07,3.93,4.87,5.23,4.43,5.2,4.83,1.73,,1,"""Snow is a down-pelt for winter.""

a) Snow is often on jackets.
b) Snow is rough.
c) Snow is frozen water that falls from the sky.
d) Snow is soft and heavy.
",[3 1 2 4],"

d) Snow is soft and heavy."
119,Nonliterary,1,252,23,The stars are snowflakes that never fall.,The stars are intricate and beautiful features of the night sky.,The stars are large balls of fire that are always in the sky.,The stars are fireballs.,The stars are simple and bland feature of the night sky.,5.52,5.9,2.6,4.27,4.76,5.14,5.21,2.96,4.17,1.81,,1,"""The stars are snowflakes that never fall.""

a) The stars are large balls of fire that are always in the sky.
b) The stars are intricate and beautiful features of the night sky.
c) The stars are fireballs.
d) The stars are simple and bland feature of the night sky.
",[3 4 2 1],"

b) The stars are intricate and beautiful features of the night sky."
120,Nonliterary,1,16,0,Greed is a hugry buzzard.,Greed is shameless.,Greed can fly.,Greed is an emotion.,Greed is good.,5.84,5.92,3.23,4.6,4.66,4.24,5.15,3.66,4.48,2.12,,1,"""Greed is a hugry buzzard.""

a) Greed is shameless.
b) Greed is an emotion.
c) Greed can fly.
d) Greed is good.
",[4 2 3 1],"

d) Greed is good."
121,Nonliterary,1,187,0,Adventure is a roller-coaster.,Adventure includes positive and negative experiences.,Adventure is fast.,Adventure is a journey.,Adventure is calm.,5.7,5.93,3.83,4.3,5.37,5.5,5.07,4.73,4.47,2.24,,1,"""Adventure is a roller-coaster.""

a) Adventure is a journey.
b) Adventure is calm.
c) Adventure includes positive and negative experiences.
d) Adventure is fast.
",[2 1 4 3],"

d) Adventure is fast."
122,Literary,1,141,0,Peas in their pods are summer children in their mothers.,Peas grow together inside a pod that nurtures them.,Peas grow together inside a pod that touches them.,Peas in their pods are vegetables.,Peas grow together inside a pod that harms them.,5.1,5.07,3.3,4.37,4.83,4.43,4.27,4.07,3.73,1.57,,1,"""Peas in their pods are summer children in their mothers.""

a) Peas grow together inside a pod that harms them.
b) Peas grow together inside a pod that touches them.
c) Peas grow together inside a pod that nurtures them.
d) Peas in their pods are vegetables.
",[1 3 4 2],"

c) Peas grow together inside a pod that nurtures them."
